processed,prod_ID,category
. cheddar cheese,40,Cheese
10 bean soup mix,10,Other Pulses
10-minute success rice,5,Rice
15 bean mix,10,Other Pulses
15 bean soup mix,10,Other Pulses
3 bean mix,10,Other Pulses
absolut citron vodka,26,Citrus Fruit
absolut mandarin vodka,26,Citrus Fruit
acorn squash,25,Other Vegetables
adzuki bean,10,Other Pulses
aged cheddar cheese,40,Cheese
aged white cheddar cheese,40,Cheese
ahi,42,Fish (farmed)
ahi tuna steak,42,Fish (farmed)
albacore tuna,42,Fish (farmed)
albacore tuna in water,42,Fish (farmed)
aleppo pepper,25,Other Vegetables
alfalfa,25,Other Vegetables
alfalfa sprout,25,Other Vegetables
all beef wiener,34,Beef (beef herd)
allspice berry,29,Berries & Grapes
almond,12,Nuts
almond bark,12,Nuts
almond brickle chip,12,Nuts
almond butter,12,Nuts
almond cookie,12,Nuts
almond cookies,12,Nuts
almond essence,12,Nuts
almond extract,12,Nuts
almond filling,12,Nuts
almond flmy,12,Nuts
almond half,12,Nuts
almond halve,12,Nuts
almond liqueur,12,Nuts
almond meal,12,Nuts
almond milk,12,Nuts
almond oil,12,Nuts
almond paste,12,Nuts
almond powder,12,Nuts
almond syrup,12,Nuts
almond toffee bit,12,Nuts
almonding,12,Nuts
alphabet pasta and vegetable soup,24,Brassicas
alpine lace swiss cheese,40,Cheese
amaretto coffee creamer,39,Milk
amber beer,3,Barley (Beer)
american cheese,40,Cheese
american cheese single,40,Cheese
american cheese slice,40,Cheese
american cheese spread,40,Cheese
anaheim chili,25,Other Vegetables
anaheim chily,25,Other Vegetables
anasazi bean,10,Other Pulses
ancho chili,25,Other Vegetables
ancho chily,25,Other Vegetables
anchovies packed in oil,42,Fish (farmed)
anchovy,42,Fish (farmed)
anchovy fillet,42,Fish (farmed)
anchovy paste,42,Fish (farmed)
and white chocolate swirled chocolate morsel,33,Dark Chocolate
angel flake coconut,31,Other Fruit
angus steak,34,Beef (beef herd)
anjou pear,31,Other Fruit
appenzeller cheese,40,Cheese
apple,28,Apples
apple brandy,28,Apples
apple butter,28,Apples
apple chip,28,Apples
apple cider,28,Apples
apple cider vinegar,28,Apples
apple crumble mix,28,Apples
apple fruit filling and topping,28,Apples
apple jelly,28,Apples
apple juice,28,Apples
apple juice concentrate,28,Apples
apple liqueur,28,Apples
apple pie filling,28,Apples
apple ring,28,Apples
apple schnapp,28,Apples
apple syrup,28,Apples
apple-raspberry juice concentrate,28,Apples
apple-smoked bacon,37,Pig Meat
applejack,28,Apples
applesauce,28,Apples
apricot,31,Other Fruit
apricot baby food,31,Other Fruit
apricot brandy,31,Other Fruit
apricot filling,31,Other Fruit
apricot fruit spread,31,Other Fruit
apricot half,31,Other Fruit
apricot halves in juice,31,Other Fruit
apricot halves in light syrup,31,Other Fruit
apricot jam,31,Other Fruit
apricot juice,31,Other Fruit
apricot liqueur,31,Other Fruit
apricot nectar,31,Other Fruit
apricot preserve,31,Other Fruit
apricot puree,31,Other Fruit
apricot syrup,31,Other Fruit
apricot-pineapple preserve,31,Other Fruit
apricots in juice,31,Other Fruit
apricots in syrup,31,Other Fruit
arabic bread,1,Wheat & Rye (Bread)
arbol chili powder,25,Other Vegetables
arborio rice,5,Rice
arrowroot,23,Root Vegetables
artichoke,25,Other Vegetables
artichoke bottom,25,Other Vegetables
artichoke heart,25,Other Vegetables
artichoke hearts in brine,25,Other Vegetables
artichoke hearts packed in oil,25,Other Vegetables
artichoke quarters in water,25,Other Vegetables
arugula,25,Other Vegetables
arugula leaf,25,Other Vegetables
asadero cheese,40,Cheese
asiago 3-cheese blend,40,Cheese
asiago cheese,40,Cheese
asiago-parmesan cheese,40,Cheese
asian chili sauce,25,Other Vegetables
asian pear,31,Other Fruit
asparagus spear,25,Other Vegetables
asparagus tip,25,Other Vegetables
assorted fresh vegetable,24,Brassicas
atlantic salmon fillet,42,Fish (farmed)
ature almond joy bar,12,Nuts
ature chocolate chip,33,Dark Chocolate
ature chocolate egg,33,Dark Chocolate
ature corn cob,2,Maize (Meal)
ature dark chocolate chip,33,Dark Chocolate
ature graham cracker pie crust,1,Wheat & Rye (Bread)
ature m&m's chocolate candy,33,Dark Chocolate
ature party rye round,1,Wheat & Rye (Bread)
ature peanut butter cup,13,Groundnuts
au gratin potato,6,Potatoes
au gratin potato mix,6,Potatoes
avocado,31,Other Fruit
avocado dip,31,Other Fruit
avocado oil,31,Other Fruit
azuki bean,10,Other Pulses
baby artichoke,25,Other Vegetables
baby arugula,25,Other Vegetables
baby beet,23,Root Vegetables
baby bella mushroom,25,Other Vegetables
baby bok choy,25,Other Vegetables
baby butter bean,10,Other Pulses
baby carrot,23,Root Vegetables
baby chicken,38,Poultry Meat
baby corn,2,Maize (Meal)
baby eggplant,25,Other Vegetables
baby green,25,Other Vegetables
baby green pea,11,Peas
baby leaf lettuce,25,Other Vegetables
baby leek,22,Onions & Leeks
baby lettuce,25,Other Vegetables
baby lima bean,10,Other Pulses
baby onion,22,Onions & Leeks
baby pea,11,Peas
baby portabella mushroom,25,Other Vegetables
baby potato,6,Potatoes
baby red potato,6,Potatoes
baby salad leaf,25,Other Vegetables
baby shrimp,43,Shrimps (farmed)
baby spinach,25,Other Vegetables
baby spinach leaf,25,Other Vegetables
baby sweet corn cob,2,Maize (Meal)
baby swiss cheese,40,Cheese
baby tomato,21,Tomatoes
baby turnip,23,Root Vegetables
back bacon,37,Pig Meat
bacon,37,Pig Meat
bacon bit,37,Pig Meat
bacon cheddar cheese,40,Cheese
bacon dip,37,Pig Meat
bacon dripping,37,Pig Meat
bacon fat,37,Pig Meat
bacon grease,37,Pig Meat
bacon piece,37,Pig Meat
bacos bacon bit,37,Pig Meat
baked bean,10,Other Pulses
baked beans in tomato sauce,21,Tomatoes
baked potato chip,6,Potatoes
baked tofu,15,Tofu
baker's baking chocolate,33,Dark Chocolate
baker's chocolate,33,Dark Chocolate
baker's dry milk,39,Milk
baker's german's chocolate,33,Dark Chocolate
baker's unsweetened chocolate square,33,Dark Chocolate
baking apple,28,Apples
baking chocolate,33,Dark Chocolate
baking chocolate square,33,Dark Chocolate
baking potato,6,Potatoes
baking powder biscuit,1,Wheat & Rye (Bread)
banana,27,Bananas
banana baby food,27,Bananas
banana bread,1,Wheat & Rye (Bread)
banana bread mix,1,Wheat & Rye (Bread)
banana chip,27,Bananas
banana cream yogurt,39,Milk
banana extract,27,Bananas
banana leaf,27,Bananas
banana liqueur,27,Bananas
banana nut crunch cereal,27,Bananas
banana pepper,25,Other Vegetables
banana pepper ring,25,Other Vegetables
banana pulp,27,Bananas
banana schnapp,27,Bananas
banana syrup,27,Bananas
banana yogurt,39,Milk
bananaing,27,Bananas
barbecue baked bean,10,Other Pulses
barbecue potato chip,6,Potatoes
barbecued beef,34,Beef (beef herd)
barbecued chicken,38,Poultry Meat
barbecued pork,37,Pig Meat
barberry,29,Berries & Grapes
barley,3,Barley (Beer)
barley flmy,3,Barley (Beer)
barley malt syrup,3,Barley (Beer)
barley miso,3,Barley (Beer)
barley pearl,3,Barley (Beer)
bartlett pear,31,Other Fruit
basil olive oil,20,Olive Oil
basmati rice,5,Rice
basmati rice pilaf,5,Rice
bass fillet,42,Fish (farmed)
bay shrimp,43,Shrimps (farmed)
bean,10,Other Pulses
bean curd,10,Other Pulses
bean dip,10,Other Pulses
bean flmy,10,Other Pulses
bean liquid,10,Other Pulses
bean medley,10,Other Pulses
bean paste,10,Other Pulses
bean sauce,10,Other Pulses
bean sprout,10,Other Pulses
bean stock,10,Other Pulses
bean thread,10,Other Pulses
bean thread noodle,10,Other Pulses
bean thread vermicelli,10,Other Pulses
beans in chili sauce,25,Other Vegetables
bear shaped graham cracker,1,Wheat & Rye (Bread)
beaufort cheese,40,Cheese
beaujolais wine,30,Wine
bechamel sauce,39,Milk
beef,34,Beef (beef herd)
beef and onion soup mix,34,Beef (beef herd)
beef baby food,34,Beef (beef herd)
beef back rib,34,Beef (beef herd)
beef base,34,Beef (beef herd)
beef blade roast,34,Beef (beef herd)
beef blade steak,34,Beef (beef herd)
beef bone,34,Beef (beef herd)
beef bouillon,34,Beef (beef herd)
beef bouillon concentrate,34,Beef (beef herd)
beef bouillon cube,34,Beef (beef herd)
beef bouillon granule,34,Beef (beef herd)
beef bouillon paste,34,Beef (beef herd)
beef bouillon powder,34,Beef (beef herd)
beef brisket,34,Beef (beef herd)
beef broth,34,Beef (beef herd)
beef burger,34,Beef (beef herd)
beef cap,34,Beef (beef herd)
beef chuck,34,Beef (beef herd)
beef chuck roast,34,Beef (beef herd)
beef chuck shoulder pot roast,34,Beef (beef herd)
beef chuck steak,34,Beef (beef herd)
beef consomme,34,Beef (beef herd)
beef consomme soup,34,Beef (beef herd)
beef cube,34,Beef (beef herd)
beef cube steak,34,Beef (beef herd)
beef cutlet,34,Beef (beef herd)
beef double bouillon cube,34,Beef (beef herd)
beef dripping,34,Beef (beef herd)
beef eye round,34,Beef (beef herd)
beef flank steak,34,Beef (beef herd)
beef gravy,34,Beef (beef herd)
beef gravy granule,34,Beef (beef herd)
beef gravy mix,34,Beef (beef herd)
beef heart,34,Beef (beef herd)
beef hot dog,34,Beef (beef herd)
beef jerky,34,Beef (beef herd)
beef kidney,34,Beef (beef herd)
beef kielbasa,34,Beef (beef herd)
beef loin steak,34,Beef (beef herd)
beef medallion,34,Beef (beef herd)
beef mince,34,Beef (beef herd)
beef ramen noodle,34,Beef (beef herd)
beef ravioli,34,Beef (beef herd)
beef rib,34,Beef (beef herd)
beef rib eye roast,34,Beef (beef herd)
beef rib roast,34,Beef (beef herd)
beef rice-a-roni,5,Rice
beef roast,34,Beef (beef herd)
beef roast seasoning,34,Beef (beef herd)
beef round steak,34,Beef (beef herd)
beef round tip steak,34,Beef (beef herd)
beef schnitzel,34,Beef (beef herd)
beef shank,34,Beef (beef herd)
beef short rib,34,Beef (beef herd)
beef shoulder,34,Beef (beef herd)
beef silverside,34,Beef (beef herd)
beef sirloin,34,Beef (beef herd)
beef sirloin steak,34,Beef (beef herd)
beef sirloin tip,34,Beef (beef herd)
beef soup mix,34,Beef (beef herd)
beef steak,34,Beef (beef herd)
beef stew meat,34,Beef (beef herd)
beef stew seasoning,34,Beef (beef herd)
beef stock,34,Beef (beef herd)
beef stock cube,34,Beef (beef herd)
beef stock granule,34,Beef (beef herd)
beef stock mix,34,Beef (beef herd)
beef stock powder,34,Beef (beef herd)
beef stroganoff sauce mix,34,Beef (beef herd)
beef suet,34,Beef (beef herd)
beef t-bone steak,34,Beef (beef herd)
beef tamale,34,Beef (beef herd)
beef taquito,34,Beef (beef herd)
beef tenderloin,34,Beef (beef herd)
beef tenderloin fillet,34,Beef (beef herd)
beef tenderloin steak,34,Beef (beef herd)
beef tip,34,Beef (beef herd)
beef tip roast,34,Beef (beef herd)
beef tongue,34,Beef (beef herd)
beef top loin steak,34,Beef (beef herd)
beef top round,34,Beef (beef herd)
beef top round steak,34,Beef (beef herd)
beef top sirloin steak,34,Beef (beef herd)
beef tortellini,34,Beef (beef herd)
beefsteak tomato,34,Beef (beef herd)
beefy mushroom soup,34,Beef (beef herd)
beefy mushroom soup mix,34,Beef (beef herd)
beefy onion soup mix,34,Beef (beef herd)
beer,3,Barley (Beer)
beer stick,3,Barley (Beer)
beet,23,Root Vegetables
beet juice,23,Root Vegetables
beet leaf,23,Root Vegetables
beet sugar,9,Beet Sugar
beetroot,23,Root Vegetables
bel paese cheese,40,Cheese
bell pepper,25,Other Vegetables
bermuda onion,22,Onions & Leeks
berry,29,Berries & Grapes
berry juice,29,Berries & Grapes
berry sugar,8,Cane Sugar
berry yogurt,39,Milk
bibb lettuce,25,Other Vegetables
bing cherry,31,Other Fruit
biscuit,1,Wheat & Rye (Bread)
biscuit dough,1,Wheat & Rye (Bread)
biscuit mix,1,Wheat & Rye (Bread)
bitter almond oil,12,Nuts
bitter chocolate,33,Dark Chocolate
bittersweet baking chocolate,33,Dark Chocolate
bittersweet chocolate,33,Dark Chocolate
bittersweet chocolate chip,33,Dark Chocolate
bittersweet chocolate piece,33,Dark Chocolate
bittersweet chocolate square,33,Dark Chocolate
bittersweet dark chocolate,33,Dark Chocolate
black bean,10,Other Pulses
black bean and rice mix,10,Other Pulses
black bean dip,10,Other Pulses
black bean garlic sauce,10,Other Pulses
black bean paste,10,Other Pulses
black bean salsa,25,Other Vegetables
black bean sauce,10,Other Pulses
black bean soup,10,Other Pulses
black bread,1,Wheat & Rye (Bread)
black cherry,31,Other Fruit
black cherry syrup,31,Other Fruit
black coffee,32,Coffee
black currant,31,Other Fruit
black currant jelly,31,Other Fruit
black forest ham,37,Pig Meat
black grape,29,Berries & Grapes
black kale,24,Brassicas
black lentil,10,Other Pulses
black mission fig,31,Other Fruit
black mushroom,25,Other Vegetables
black pepper,25,Other Vegetables
black plum,31,Other Fruit
black raspberry,29,Berries & Grapes
black rice,5,Rice
black sticky rice,5,Rice
black walnut,12,Nuts
black-eyed pea,11,Peas
blackberry,29,Berries & Grapes
blackberry all-fruit spread,29,Berries & Grapes
blackberry brandy,29,Berries & Grapes
blackberry jam,29,Berries & Grapes
blackberry jelly,29,Berries & Grapes
blackberry liqueur,29,Berries & Grapes
blackberry pie filling,29,Berries & Grapes
blackberry preserve,29,Berries & Grapes
blackberry syrup,29,Berries & Grapes
blackberry wine,30,Wine
blackberry yogurt,39,Milk
blackened fish seasoning,42,Fish (farmed)
blade steak,34,Beef (beef herd)
blanched almond,12,Nuts
blended oatmeal,4,Oatmeal
blended red chili sauce,25,Other Vegetables
bleu cheese spread,40,Cheese
blood orange,26,Citrus Fruit
blood orange juice,26,Citrus Fruit
"blood orange, juice of",26,Citrus Fruit
blue cheese,40,Cheese
blue cornmeal,2,Maize (Meal)
blue potato,6,Potatoes
blueberries in heavy syrup,29,Berries & Grapes
blueberries in light syrup,29,Berries & Grapes
blueberry,29,Berries & Grapes
blueberry jam,29,Berries & Grapes
blueberry juice,29,Berries & Grapes
blueberry muffin mix,29,Berries & Grapes
blueberry pie filling,29,Berries & Grapes
blueberry preserve,29,Berries & Grapes
blueberry sauce,29,Berries & Grapes
blueberry vodka,29,Berries & Grapes
blueberry yogurt,39,Milk
bluefish,42,Fish (farmed)
bluefish fillet,42,Fish (farmed)
blush wine,30,Wine
boboli whole wheat pizza crust,1,Wheat & Rye (Bread)
bock beer,3,Barley (Beer)
boil-in-the-bag rice,5,Rice
boiled ham,37,Pig Meat
boiled potato,6,Potatoes
boiling onion,22,Onions & Leeks
boiling potato,6,Potatoes
bok choy,25,Other Vegetables
bone-in ham,37,Pig Meat
bone-in pork roast,37,Pig Meat
borlotti bean,10,Other Pulses
bosc pear,31,Other Fruit
bottled chili sauce,25,Other Vegetables
bottled garlic,23,Root Vegetables
bottled lemon juice,26,Citrus Fruit
bottom round beef roast,34,Beef (beef herd)
bottom round steak,34,Beef (beef herd)
boursin cheese,40,Cheese
boysenberry,29,Berries & Grapes
braeburn apple,28,Apples
brazil nut,12,Nuts
bread,1,Wheat & Rye (Bread)
bread bowl,1,Wheat & Rye (Bread)
bread crumb,1,Wheat & Rye (Bread)
bread cube,1,Wheat & Rye (Bread)
bread dough,1,Wheat & Rye (Bread)
bread enhancer,1,Wheat & Rye (Bread)
bread flmy,1,Wheat & Rye (Bread)
bread improver,1,Wheat & Rye (Bread)
bread mix,1,Wheat & Rye (Bread)
bread pizza crust,1,Wheat & Rye (Bread)
bread round,1,Wheat & Rye (Bread)
bread spice,1,Wheat & Rye (Bread)
bread stuffing mix,1,Wheat & Rye (Bread)
breadcrumb,1,Wheat & Rye (Bread)
breaded chicken nugget,38,Poultry Meat
breaded chicken patty,38,Poultry Meat
breaded chicken tender,38,Poultry Meat
breaded fish fillet,42,Fish (farmed)
breadfruit,1,Wheat & Rye (Bread)
breadstick,1,Wheat & Rye (Bread)
breast of turkey,38,Poultry Meat
brewed coffee,32,Coffee
brewed decaffeinated coffee,32,Coffee
brick cheese,40,Cheese
brie cheese,40,Cheese
brie round,40,Cheese
brioche bread,1,Wheat & Rye (Bread)
broad bean,10,Other Pulses
broccoli,24,Brassicas
broccoli and cheese rice mix,40,Cheese
broccoli carrots and water chestnut mix,23,Root Vegetables
broccoli cheese soup,40,Cheese
broccoli coleslaw mix,24,Brassicas
broccoli floret,24,Brassicas
broccoli rabe,24,Brassicas
broccoli slaw mix,24,Brassicas
broccoli spear,24,Brassicas
broccoli sprout,24,Brassicas
broccoli stem,24,Brassicas
broccolini,24,Brassicas
broiler chicken,38,Poultry Meat
broiler-fryer chicken,38,Poultry Meat
brown and wild rice mix,5,Rice
brown basmati rice,5,Rice
brown bean,10,Other Pulses
brown bean sauce,10,Other Pulses
brown bread,1,Wheat & Rye (Bread)
brown breadcrumb,1,Wheat & Rye (Bread)
brown button mushroom,25,Other Vegetables
brown lentil,10,Other Pulses
brown onion,22,Onions & Leeks
brown rice,5,Rice
brown rice flmy,5,Rice
brown rice miso,5,Rice
brown rice pastum,5,Rice
brown rice syrup,5,Rice
brown rice vinegar,5,Rice
brown sugar,8,Cane Sugar
brown sugar baked bean,10,Other Pulses
brown sugar cinnamon syrup,8,Cane Sugar
brown sugar ham,37,Pig Meat
brown sugar twin,8,Cane Sugar
brussels sprout,24,Brassicas
brut champagne,30,Wine
buckwheat flake,1,Wheat & Rye (Bread)
buckwheat flmy,1,Wheat & Rye (Bread)
buckwheat groat,4,Oatmeal
buckwheat noodle,1,Wheat & Rye (Bread)
bud light beer,3,Barley (Beer)
buddig beef,34,Beef (beef herd)
budweiser beer,3,Barley (Beer)
buffalo mozzarella,40,Cheese
bulb of garlic,23,Root Vegetables
bulbs of garlic,23,Root Vegetables
bulbs shallot,23,Root Vegetables
bulgar wheat,1,Wheat & Rye (Bread)
bulgur wheat,1,Wheat & Rye (Bread)
bun,1,Wheat & Rye (Bread)
burdock root,23,Root Vegetables
burgundy cooking wine,30,Wine
burgundy wine,30,Wine
bush's red bean,10,Other Pulses
butter bean,10,Other Pulses
butter lettuce,25,Other Vegetables
butter lettuce leaf,25,Other Vegetables
butter pecan ice cream,39,Milk
buttercup squash,25,Other Vegetables
buttered bread crumb,1,Wheat & Rye (Bread)
butterfish,42,Fish (farmed)
butterflied leg of lamb,35,Beef (dairy herd)
butterfly pork chop,37,Pig Meat
butterfly pork loin chop,37,Pig Meat
butterhead lettuce,25,Other Vegetables
buttermilk,39,Milk
buttermilk baking mix,39,Milk
buttermilk biscuit,1,Wheat & Rye (Bread)
buttermilk biscuit mix,1,Wheat & Rye (Bread)
butternut pumpkin,25,Other Vegetables
butternut snap biscuit,1,Wheat & Rye (Bread)
butternut squash,25,Other Vegetables
butternut squash seed,25,Other Vegetables
butternut squash soup,25,Other Vegetables
button mushroom,25,Other Vegetables
cabbage,24,Brassicas
cabbage and carrot coleslaw mix,24,Brassicas
cabbage coleslaw blend,24,Brassicas
cabbage kimchi,24,Brassicas
cabbage leaf,24,Brassicas
cabernet sauvignon wine,30,Wine
caerphilly cheese,40,Cheese
cake tofu,15,Tofu
calabaza squash,25,Other Vegetables
california avocado,31,Other Fruit
california dried fig,31,Other Fruit
california walnut,12,Nuts
california-blend frozen vegetable,24,Brassicas
calimyrna fig,31,Other Fruit
calrose rice,5,Rice
cambozola cheese,40,Cheese
camembert cheese,40,Cheese
camp coffee,32,Coffee
campari tomato,21,Tomatoes
campbell pepper jack soup,25,Other Vegetables
canada dry ginger ale,23,Root Vegetables
canadian bacon,37,Pig Meat
canadian cheddar cheese,40,Cheese
canadian rye whisky,1,Wheat & Rye (Bread)
candied almond,12,Nuts
candied cherry,31,Other Fruit
candied citron peel,26,Citrus Fruit
candied fruit,31,Other Fruit
candied ginger,23,Root Vegetables
candied green cherry,31,Other Fruit
candied lemon peel,26,Citrus Fruit
candied orange,26,Citrus Fruit
candied orange peel,26,Citrus Fruit
candied pineapple,31,Other Fruit
candied red cherry,31,Other Fruit
candied walnut,12,Nuts
candlenut,12,Nuts
candy coating,4,Oatmeal
candy corn,2,Maize (Meal)
candy covered plain chocolate candy,33,Dark Chocolate
candy-coated chocolate,4,Oatmeal
canned anchovy fillet,42,Fish (farmed)
canned apricot,31,Other Fruit
canned artichoke heart,25,Other Vegetables
canned beef broth,34,Beef (beef herd)
canned beet,23,Root Vegetables
canned black bean,10,Other Pulses
